date,Year,Month,Bond_lag_MV,Bond_Ew_Ret,Bond_Vw_Ret
2001-04-30,2001,4,2.786054,-0.006934946304665587,-0.0058741527316188355
2001-05-31,2001,5,2.68415,0.0047317684582644315,0.0045874421547924035
2001-06-30,2001,6,2.640763,0.002991130875679884,0.0029695791526063403
2001-07-31,2001,7,2.627574,0.018007652102215454,0.016293317508259384
2001-08-31,2001,8,2.63173,0.01068628574876149,0.009541517845897591
2001-09-30,2001,9,2.689759,0.012500011101558623,0.011476491450953752
2001-10-31,2001,10,2.697832,0.021446067394394107,0.01847990844990176
2001-11-30,2001,11,2.69151,-0.017410212295132912,-0.014093870696079099
2001-12-31,2001,12,2.705536,-0.0049876079890445795,-0.004083538979188012
2002-01-31,2002,1,2.736116,0.004865259690633045,0.004175024928034448
2002-02-28,2002,2,2.703127,0.006883470378741972,0.006017394728433445
2002-03-31,2002,3,2.770115,-0.016500923013281963,-0.01339061184812303
2002-04-30,2002,4,2.790645,0.018197060438046496,0.015377844314321341
2002-05-31,2002,5,2.755949,0.004451888900186435,0.004226985087258611
2002-06-30,2002,6,2.742454,0.01034711741835408,0.009019276506388606
2002-07-31,2002,7,2.800279,0.016780345680257016,0.014286625663657642
2002-08-31,2002,8,2.811369,0.01608153019516834,0.01265323295289565
2002-09-30,2002,9,2.837365,0.01900143097330198,0.01569430521281687
2002-10-31,2002,10,2.894225,-0.007206757708720394,-0.00490711916349775
2002-11-30,2002,11,2.8857,-0.006599899598315657,-0.005370842422665555
2002-12-31,2002,12,2.942479,0.01907494131449021,0.015400410938133617
2003-01-31,2003,1,2.960667,-0.0017284026100901654,-0.00131104685323361
2003-02-28,2003,2,2.92673,0.01259664535841057,0.00963968737565671
2003-03-31,2003,3,2.972653,-0.002075660702142768,-0.0009950565893471499
2003-04-30,2003,4,3.060478,0.003518658138916601,0.0026911800426537512
2003-05-31,2003,5,3.048624,0.020458474598453943,0.014917223575399197
2003-06-30,2003,6,3.010444,-0.002899742223748631,-0.0015418511330684622
2003-07-31,2003,7,3.119212,-0.030723760394362126,-0.021471149876463303
2003-08-31,2003,8,3.122843,0.002065632636160019,0.001187903570198931
2003-09-30,2003,9,3.111733,0.02363618174290524,0.017838686492612336
2003-10-31,2003,10,3.18642,-0.010964352300624694,-0.007848259291494783
2003-11-30,2003,11,3.204223,0.0007104964574631645,0.0004252791225959771
2003-12-31,2003,12,3.231562,0.00752718744251618,0.006108124098681697
2004-01-31,2004,1,3.288396,0.006517596224563064,0.004879093103512282
2004-02-29,2004,2,3.281211,0.009595668662558619,0.007256395685636142
2004-03-31,2004,3,3.314193,0.007064735923870562,0.005478272673830624
2004-04-30,2004,4,3.41624,-0.024414267449818648,-0.01803182555957279
2004-05-31,2004,5,3.374268,-0.002365316498257945,-0.0017586152276510125
2004-06-30,2004,6,3.386584,0.004939397142739487,0.00365019679265475
2004-07-31,2004,7,3.445197,0.006403449122766417,0.004950356713036804
2004-08-31,2004,8,3.449022,0.016913935952113948,0.012631889479449659
2004-09-30,2004,9,3.457332,0.0019571973303517897,0.0013280486039366755
2004-10-31,2004,10,3.485676,0.006482482636199531,0.0049905080808936115
2004-11-30,2004,11,3.537745,-0.009875461022384924,-0.007076277430364413
2004-12-31,2004,12,3.566352,0.008307323344486492,0.006086763184537041
2005-01-31,2005,1,3.560927,0.006888537107810519,0.004508250590260098
2005-02-28,2005,2,3.583867,-0.006588854257336928,-0.004552408598791046
2005-03-31,2005,3,3.615486,-0.0010271261554040522,-0.00017606291408426368
2005-04-30,2005,4,3.679997,0.014010915008047057,0.01059094913803811
2005-05-31,2005,5,3.661514,0.011644409822374918,0.008810352294602048
2005-06-30,2005,6,3.597585,0.005814487516817233,0.004458565147135567
2005-07-31,2005,7,3.603765,-0.011368312416418756,-0.007864432218651879
2005-08-31,2005,8,3.648388,0.013719963665285117,0.01069600431653053
2005-09-30,2005,9,3.642991,-0.010246137966375257,-0.006801399225146723
2005-10-31,2005,10,3.639111,-0.005643113442481394,-0.0034387979255845755
2005-11-30,2005,11,3.685018,0.004871124555217682,0.004389984168057506
2005-12-31,2005,12,3.695351,0.008882625512678814,0.006983434746752428
2006-01-31,2006,1,3.706014,-0.0013879213320722218,-0.00016811374183083234
2006-02-28,2006,2,3.724123,0.0016387574199337167,0.0016684350856778383
2006-03-31,2006,3,3.750819,-0.007804040065687281,-0.00405187650439628
2006-04-30,2006,4,3.838167,-0.0030160452097620933,-0.0008695663143876895
2006-05-31,2006,5,3.811749,0.0007378279400172082,0.0014339604420594973
2006-06-30,2006,6,3.739739,0.00391605918661345,0.0036519252938174564
2006-07-31,2006,7,3.741978,0.010874311347951584,0.00920927533658423
2006-08-31,2006,8,3.767546,0.01272514697644521,0.010486081136963959
2006-09-30,2006,9,3.761859,0.008172094837337539,0.007168910392405103
2006-10-31,2006,10,3.792997,0.0050459104491337135,0.0047315426500665414
2006-11-30,2006,11,3.805401,0.009042038124192457,0.007715216799569464
2006-12-31,2006,12,3.785232,-0.005734175720390805,-0.0034286960143002265
2007-01-31,2007,1,3.819366,0.000387060337783598,0.00131555345313545
2007-02-28,2007,2,3.824799,0.012904249836063671,0.010721764894766618
2007-03-31,2007,3,3.836654,0.0008260150292881649,0.0019000662611438016
2007-04-30,2007,4,3.901732,0.005246133463235511,0.004952314159554425
2007-05-31,2007,5,3.87473,-0.006290801212496775,-0.004060684203106705
2007-06-30,2007,6,3.778049,0.0004823739964169694,0.0013589135432149496
2007-07-31,2007,7,3.798251,0.014825438661635265,0.012675083652547377
2007-08-31,2007,8,3.830372,0.012421938439644757,0.011161733331980837
2007-09-30,2007,9,3.832719,0.004432789134264441,0.004425368363378652
2007-10-31,2007,10,3.892458,0.00750266184051477,0.006599983033066938
2007-11-30,2007,11,3.818672,0.026258836305647404,0.022063011455926932
2007-12-31,2007,12,3.893565,0.00035144384498320976,0.0009205788604367758
2008-01-31,2008,1,3.942124,0.02223764297391922,0.019475302825119535
2008-02-29,2008,2,3.903779,0.00787565588315157,0.006978689274781979
2008-03-31,2008,3,3.972874,0.00579002646977243,0.005325284310826538
2008-04-30,2008,4,4.099094,-0.011997226591740202,-0.010002547951708102
2008-05-31,2008,5,4.019121,-0.010696252452199594,-0.008532772145684585
2008-06-30,2008,6,4.018773,0.007487235105048761,0.006404690696936272
2008-07-31,2008,7,4.042494,0.004303189756623731,0.004015745858588912
2008-08-31,2008,8,4.081687,0.008405451379658126,0.00694797503559337
2008-09-30,2008,9,4.174809,0.006252014996036638,0.005689015496192295
2008-10-31,2008,10,4.534957,-0.0012087257977250847,0.0010110612716112467
2008-11-30,2008,11,4.922521,0.0412567934953343,0.02923313775278834
2008-12-31,2008,12,5.076132,0.024584041109739503,0.018023122083118893
2009-01-31,2009,1,5.030758,-0.021607517912646795,-0.015503387408426087
2009-02-28,2009,2,5.087654,-0.0024679267836971355,-0.0020213249776274565
2009-03-31,2009,3,5.310335,0.016563860936803357,0.011597730928177246
2009-04-30,2009,4,5.51864,-0.014154088161887915,-0.010030059076643207
2009-05-31,2009,5,5.571375,-0.007409455939922117,-0.005440195540833529
2009-06-30,2009,6,5.709102,-0.0012969105237522435,-0.0014025724638740279
2009-07-31,2009,7,5.864377,0.004005216363058305,0.003169218213690115
2009-08-31,2009,8,5.955394,0.006791373325770657,0.005195808523860442
2009-09-30,2009,9,6.052943,0.006055880846539651,0.004720572983492886
2009-10-31,2009,10,6.179915,-0.00027764016080883126,4.255507481544482e-05
2009-11-30,2009,11,6.188354,0.010337486324675708,0.008445523025785313
2009-12-31,2009,12,6.262433,-0.020190296528532617,-0.016496947298503182
